Feature,Importance_Score
transactions,0.3448713218063548
family_GROCERY I,0.30011729793982267
family_BEVERAGES,0.1170861656549204
dcoilwtico,0.05479687797061699
family_PRODUCE,0.03865860838014555
year,0.024326921291821835
family_CLEANING,0.02297714070436457
store_nbr_20,0.017497074922804903
month,0.014090107674191598
family_DAIRY,0.010349999089367498
dayofweek,0.008224887921056766
store_nbr_49,0.0053018682379702775
store_nbr_51,0.0050504058605504425
family_BREAD/BAKERY,0.004180390627772955
store_nbr_44,0.0033134719667339716
store_nbr_3,0.0030562750079054673
store_nbr_11,0.002959134631638772
store_nbr_7,0.002373199462699378
family_MEATS,0.0020409250811755306
family_POULTRY,0.0020282705148329584
is_weekend,0.0019457530185700558
store_nbr_9,0.0014511271357177068
family_PERSONAL CARE,0.001294924508785687
family_DELI,0.0012794553060137344
store_nbr_8,0.0010747933741785784
store_nbr_46,0.0008186104528044333
store_nbr_34,0.0008141148480976308
store_nbr_45,0.0007180651871456121
store_nbr_14,0.0005782391247267509
store_nbr_48,0.0005627674853120367
store_nbr_40,0.0005039539272124076
store_nbr_24,0.00048737921248828085
store_nbr_42,0.00048636850089756566
store_nbr_43,0.0004307809480815532
store_nbr_47,0.00039999501831667364
store_nbr_27,0.0003422400211115134
store_nbr_17,0.00031873906835339235
store_nbr_28,0.00027766836890301074
store_nbr_23,0.0002540895799943973
store_nbr_39,0.00024797804039910023
store_nbr_25,0.00024529292573165825
store_nbr_18,0.00018663712293180254
store_nbr_33,0.00017961441996065217
store_nbr_37,0.00016853314631302827
store_nbr_50,0.00016743519684030484
store_nbr_6,0.00016706467817850806
store_nbr_54,0.0001482782180345243
store_nbr_53,0.00014443613996714149
store_nbr_12,0.00013122229716966982
store_nbr_2,0.00012725048645857384
store_nbr_15,0.00012366801775458462
store_nbr_4,7.607694920473354e-05
store_nbr_36,7.503293444326705e-05
store_nbr_38,5.833980956714885e-05
store_nbr_21,5.504800507740624e-05
store_nbr_32,5.314900067394927e-05
store_nbr_16,5.2512967068778276e-05
store_nbr_5,4.044594676278829e-05
store_nbr_41,2.7321233447077917e-05
store_nbr_52,2.32436809702883e-05
store_nbr_31,2.2925433394408094e-05
store_nbr_13,2.0927578256515274e-05
store_nbr_19,2.0368863972303804e-05
store_nbr_29,1.9588516706477473e-05
store_nbr_35,1.7918040958873395e-05
store_nbr_10,1.720755712371027e-05
store_nbr_22,1.5900219689095163e-05
store_nbr_26,1.4539083206479744e-05
store_nbr_30,1.2633656278744935e-05
family_BABY CARE,0.0
"family_LIQUOR,WINE,BEER",0.0
family_MAGAZINES,0.0
family_PREPARED FOODS,0.0
family_PET SUPPLIES,0.0
family_PLAYERS AND ELECTRONICS,0.0
family_LAWN AND GARDEN,0.0
family_SCHOOL AND OFFICE SUPPLIES,0.0
family_LINGERIE,0.0
family_HOME APPLIANCES,0.0
family_LADIESWEAR,0.0
family_HOME CARE,0.0
family_BEAUTY,0.0
family_HOME AND KITCHEN II,0.0
family_HOME AND KITCHEN I,0.0
family_HARDWARE,0.0
family_GROCERY II,0.0
family_FROZEN FOODS,0.0
family_EGGS,0.0
family_CELEBRATION,0.0
family_BOOKS,0.0
family_SEAFOOD,0.0
